"Geography_Code","NM_1545_1_0","NM_1545_1_1","NM_1545_1_2","NM_1545_1_3","NM_1545_1_4"
"N00000626",492,441,29,8,14
"N00000627",456,411,22,10,13
"N00000628",415,369,28,4,14
"N00000629",438,399,17,12,10
"N00000630",272,248,14,6,4
"N00000631",406,360,26,6,14
"N00000632",474,425,35,4,10
"N00000633",325,275,29,9,12
"N00000634",495,409,56,13,17
"N00000635",410,346,39,10,15
"N00000636",399,351,30,6,12
"N00000637",832,726,59,23,24
"N00000638",398,362,21,4,11
"N00000639",408,350,32,10,16
"N00000640",343,325,11,1,6
"N00000641",341,291,40,4,6
"N00000642",389,349,23,9,8
"N00000643",477,420,35,9,13
"N00000644",548,504,17,12,15
"N00000645",451,389,31,11,20
"N00000646",419,369,27,9,14
"N00000647",723,643,42,13,25
"N00000648",381,329,24,11,17
"N00000649",389,329,40,4,16
"N00000650",602,549,32,4,17
"N00000651",278,255,8,5,10
"N00000652",533,465,43,8,17
"N00000653",309,269,23,5,12
"N00000654",269,238,12,7,12
"N00000655",368,325,30,5,8
"N00000656",242,218,8,4,12
"N00000657",851,761,45,13,32
"N00000658",364,328,22,4,10
"N00000659",391,351,20,7,13
"N00000660",387,342,27,11,7
"N00000661",384,331,36,10,7
"N00000662",352,301,26,7,18
"N00000663",395,357,23,8,7
"N00000664",378,341,27,4,6
"N00000665",485,434,29,11,11
"N00000666",439,384,40,5,10
"N00000667",538,479,35,10,14
"N00000668",323,293,16,5,9
"N00000669",493,449,26,6,12
"N00000670",292,264,12,4,12
"N00000671",239,220,7,4,8
"N00000672",324,289,20,2,13
"N00000673",943,849,47,28,19
"N00000674",316,273,30,8,5
"N00000675",387,331,44,4,8
"N00000676",721,632,45,14,30
"N00000677",295,259,21,5,10
"N00000678",531,471,35,8,17
"N00000679",561,496,48,6,11
"N00000680",413,386,13,1,13
"N00000681",385,349,21,4,11
"N00000682",485,437,26,6,16
"N00000683",391,345,27,5,14
"N00000684",595,553,27,11,4
"N00000685",326,298,11,9,8
"N00000686",499,453,31,10,5
"N00000687",379,323,28,11,17
"N00000688",407,365,27,7,8
"N00000689",392,349,27,4,12
"N00000690",282,249,13,8,12
"N00000691",303,265,18,11,9
"N00000692",244,210,11,8,15
"N00000693",287,258,22,3,4
"N00000694",873,794,38,12,29
"N00000695",518,464,28,11,15
"N00000696",180,175,4,0,1
"N00000697",380,333,31,3,13
"N00000698",451,400,21,4,26
"N00000699",256,237,4,3,12
"N00000700",262,231,13,6,12
"N00000701",235,211,12,4,8
"N00000702",771,686,55,14,16
"N00000703",342,297,22,8,15
"N00000704",656,563,43,14,36
"N00000705",680,608,53,2,17
"N00000706",437,389,23,6,19
"N00000707",360,331,16,5,8
"N00000708",466,398,45,7,16
"N00000709",465,411,33,6,15
"N00000710",345,308,19,6,12
"N00000711",522,470,28,9,15
"N00000712",385,345,22,9,9
"N00000713",421,380,19,13,9
"N00000714",453,391,34,13,15
"N00000715",656,574,51,12,19
"N00000716",897,775,71,18,33
"N00000717",576,526,33,7,10
"N00000718",1923,1708,134,41,40
"N00000719",260,228,17,5,10
"N00000720",484,434,39,4,7
"N00000721",460,402,37,9,12
"N00000722",495,425,39,9,22
"N00000723",445,393,33,9,10
"N00000724",495,428,39,10,18
"N00000725",477,428,32,7,10
"N00000726",445,404,23,6,12
"N00000727",274,244,14,9,7
"N00000728",495,451,21,3,20
"N00000729",355,307,25,11,12
"N00000730",305,264,21,8,12
"N00000731",267,237,13,1,16
"N00000732",569,514,38,11,6
"N00000733",325,277,31,11,6
"N00000734",416,372,18,10,16
"N00000735",422,353,40,9,20
"N00000736",382,345,28,2,7
"N00000737",382,328,40,6,8
"N00000738",432,386,31,5,10
"N00000739",444,400,28,9,7
"N00000740",567,492,52,7,16
"N00000741",345,300,33,9,3
"N00000742",286,250,21,10,5
"N00000743",270,235,21,4,10
"N00000744",283,255,16,4,8
"N00000745",470,425,26,6,13
"N00000746",508,450,24,12,22
"N00000747",401,347,35,6,13
"N00000748",454,399,32,8,15
"N00000749",387,337,35,5,10
"N00000750",319,288,19,5,7
"N00000751",464,424,24,5,11
"N00000752",412,365,28,11,8
"N00000753",436,374,47,7,8
"N00000754",436,408,18,2,8
"N00000755",391,331,40,9,11
"N00000756",366,318,25,12,11
"N00000757",451,411,27,4,9
"N00000758",471,431,16,4,20
"N00000759",304,264,27,9,4
"N00000760",250,214,19,7,10
"N00000761",421,374,22,7,18
"N00000762",222,201,9,8,4
"N00000763",410,366,16,11,17
"N00000764",278,241,23,7,7
"N00000765",413,369,20,7,17
"N00000766",776,687,46,14,29
"N00000767",312,277,27,4,4
"N00000768",276,239,13,8,16
"N00000769",393,316,41,7,29
"N00000770",374,345,23,1,5
"N00000771",233,200,17,5,11
"N00000772",456,393,40,9,14
"N00000773",420,377,20,11,12
"N00000774",1023,883,67,32,41
"N00000775",296,258,26,3,9
"N00000776",327,288,18,8,13
"N00000777",912,810,61,17,24
"N00000778",432,373,34,3,22
"N00000779",564,501,44,6,13
"N00000780",531,471,30,7,23
"N00000781",508,465,28,10,5
"N00000782",526,457,39,12,18
"N00000783",565,507,32,13,13
"N00000784",437,387,30,7,13
"N00000785",332,281,27,12,12
"N00000786",384,324,43,8,9
"N00000787",437,398,30,2,7
"N00000788",427,384,34,4,5
"N00000789",997,883,69,23,22
"N00000790",530,453,43,11,23
"N00000791",347,297,26,7,17
"N00000792",399,328,38,15,18
"N00000793",451,381,47,11,12
"N00000794",467,408,41,5,13
"N00000795",539,473,34,10,22
"N00000796",351,314,20,5,12
"N00000797",349,288,28,13,20
"N00000798",527,456,31,12,28
"N00000799",475,404,43,14,14
"N00000800",428,376,29,8,15
"N00000801",529,471,38,10,10
"N00000802",272,239,23,5,5
"N00000803",398,351,21,9,17
"N00000804",422,363,41,9,9
"N00000805",383,341,26,4,12
"N00000806",341,298,20,12,11
"N00000807",521,464,33,9,15
"N00000808",243,212,17,6,8
"N00000809",557,497,39,6,15
"N00000810",434,375,42,7,10
"N00000811",345,301,27,1,16
"N00000812",299,265,11,7,16
"N00000813",491,428,30,15,18
"N00000814",258,239,13,3,3
"N00000815",487,428,43,9,7
"N00000816",558,502,32,10,14
"N00000817",256,206,33,7,10
"N00000818",324,283,26,5,10
"N00000819",253,230,11,3,9
"N00000820",375,341,17,6,11
"N00000821",269,251,9,3,6
"N00000822",209,184,15,4,6
"N00000823",365,318,30,9,8
"N00000824",253,232,12,2,7
"N00000825",367,315,27,14,11
"N00000826",302,250,24,13,15
"N00000827",298,251,20,9,18
"N00000828",231,206,10,5,10
"N00000829",310,260,24,11,15
"N00000830",260,204,12,7,37
"N00000831",306,265,14,7,20
"N00000832",273,244,14,6,9
"N00000833",253,219,15,5,14
"N00000834",390,337,21,13,19
"N00000835",301,250,21,10,20
"N00000836",347,291,14,12,30
"N00000837",351,304,10,13,24
"N00000838",283,244,16,9,14
"N00000839",363,311,19,13,20
"N00000840",272,227,23,5,17
"N00000841",295,262,16,3,14
"N00000842",556,476,33,16,31
"N00000843",233,205,5,8,15
"N00000844",213,185,13,4,11
"N00000845",202,172,8,8,14
"N00000846",246,215,12,9,10
"N00000847",958,853,41,23,41
