"Geography_Code","NM_1554_1_0","NM_1554_1_1","NM_1554_1_2","NM_1554_1_3","NM_1554_1_4","NM_1554_1_5","NM_1554_1_6","NM_1554_1_7","NM_1554_1_8","NM_1554_1_9"
"N00000448",128,0,4,11,56,39,8,8,0,2
"N00000449",146,0,0,1,5,33,31,25,23,28
"N00000450",178,0,0,0,15,47,50,27,14,25
"N00000451",189,0,4,2,40,60,32,17,14,20
"N00000452",157,0,1,1,7,27,28,37,18,38
"N00000453",149,1,2,18,16,64,27,5,5,11
"N00000454",162,0,3,1,6,23,28,41,33,27
"N00000455",111,0,2,1,5,64,21,8,2,8
"N00000456",118,0,0,1,1,10,27,13,26,40
"N00000457",126,0,0,1,4,52,28,27,6,8
"N00000458",129,0,0,1,1,23,47,19,16,22
"N00000459",247,0,8,10,13,81,71,23,14,27
"N00000460",138,0,0,12,12,52,45,9,2,6
"N00000461",157,0,0,2,21,46,40,27,10,11
"N00000462",101,2,1,8,23,47,13,3,1,3
"N00000463",343,0,8,33,46,128,57,36,16,19
"N00000464",156,1,1,2,3,49,35,20,22,23
"N00000465",129,0,0,3,22,66,27,4,3,4
"N00000466",138,0,0,1,2,17,47,26,20,25
"N00000467",131,0,2,14,14,57,28,4,5,7
"N00000468",116,0,1,5,6,14,32,19,26,13
"N00000469",154,0,0,3,8,41,37,24,18,23
"N00000470",122,0,0,10,14,50,29,11,4,4
"N00000471",126,0,1,1,16,76,24,4,1,3
"N00000472",133,1,1,13,65,26,17,6,1,3
"N00000473",108,1,3,12,19,48,14,3,3,5
"N00000474",118,3,2,8,14,4,16,22,19,30
"N00000475",116,0,1,8,39,53,11,3,1,0
"N00000476",119,0,0,9,13,65,28,4,0,0
"N00000477",283,0,3,0,20,30,71,60,34,65
"N00000478",129,1,4,8,37,40,31,5,0,3
"N00000479",117,0,0,1,4,13,16,34,21,28
"N00000480",132,1,0,0,3,21,46,29,18,14
"N00000481",175,0,0,4,19,40,48,12,11,41
"N00000482",121,0,1,25,40,29,16,3,2,5
"N00000483",115,0,0,2,1,60,25,15,10,2
"N00000484",139,0,3,7,27,58,32,10,1,1
"N00000485",108,1,1,8,14,38,28,9,6,3
"N00000486",116,0,0,1,2,12,22,32,28,19
"N00000487",113,0,0,0,10,19,25,27,17,15
"N00000488",134,0,0,1,1,30,36,30,19,17
"N00000489",107,0,0,1,2,28,28,23,13,12
"N00000490",194,0,0,4,8,68,60,17,22,15
"N00000491",166,0,0,1,4,35,44,28,38,16
"N00000492",177,0,0,15,20,49,40,14,23,16
"N00000493",140,0,0,1,3,22,36,18,21,39
"N00000494",347,0,1,12,28,74,99,46,42,45
"N00000495",136,0,0,1,3,21,55,33,15,8
"N00000496",310,0,1,12,15,40,68,60,53,61
"N00000497",328,1,4,8,24,88,99,47,23,34
"N00000498",128,0,0,3,5,28,31,27,11,23
"N00000499",129,1,0,2,3,26,70,18,5,4
"N00000500",249,0,16,41,60,97,24,6,2,3
"N00000501",151,0,3,36,26,32,47,6,1,0
"N00000502",89,0,0,3,34,32,18,2,0,0
"N00000503",133,0,0,4,3,69,43,8,3,3
"N00000504",108,0,4,11,33,33,21,6,0,0
"N00000505",94,0,0,4,4,57,26,2,1,0
